time,temp1,temp2,temp3,temp4,Mode1_f0,Mode1_ql,Mode1_c1,Mode1_c2
39949.71362,302.695,42.0124,501.944,11.9994,7106267749.254732,60054.76550506959,0.0,0.0
39951.804658,306.276,42.0139,501.936,11.9996,7106267763.055423,60074.27710513887,0.0,0.0
39953.905395,310.227,42.0133,501.895,11.9988,7106267773.970679,60048.56005677251,0.0,0.0
39956.006479,306.176,42.0118,501.877,11.9993,7106267743.504219,60098.33102648781,0.0,0.0
39958.107136,310.838,42.0133,501.875,11.9972,7106267771.431472,60082.03388627616,0.0,0.0
39960.197992,315.438,42.0082,501.893,11.9976,7106267788.636171,60058.7504061337,0.0,0.0
39962.2996,314.737,42.0113,501.908,11.998,7106267791.387894,60093.04809778265,0.0,0.0
39964.380209,315.604,42.0113,501.9,11.9981,7106267756.375216,60082.146932264484,0.0,0.0
39966.671835,310.325,42.0113,501.907,11.9972,7106267736.523948,60073.45960153612,0.0,0.0
39968.793038,310.253,42.0124,501.97,11.9973,7106267731.18378,60076.64956432339,0.0,0.0
39970.894004,309.327,42.0097,502.025,11.9978,7106267796.980152,60024.87706853107,0.0,0.0
39973.004866,300.906,42.0139,502.079,11.9967,7106267765.97829,60100.43093279968,0.0,0.0
39975.12617,298.311,42.0108,502.105,19.6596,7106267734.564691,60043.08161468607,0.0,0.0
39977.227866,310.505,42.0066,502.115,11.9954,7106267721.638537,60054.377245807664,0.0,0.0
39979.319002,301.87,42.0108,502.124,11.9968,7106267650.253995,60049.03624474099,0.0,0.0
39981.420116,296.735,42.0113,502.139,11.995,7106267715.379009,60101.29739166778,0.0,0.0
39983.511156,293.956,42.0077,502.151,11.9955,7106267782.295977,60090.34530213558,0.0,0.0
39985.612991,294.101,42.0082,502.183,11.9964,7106267704.49074,60070.13121108116,0.0,0.0
39987.904447,291.256,42.0086,502.176,11.9976,7106267712.306097,60013.77765471264,0.0,0.0
39990.006003,295.489,42.0093,502.168,11.9975,7106267753.74733,60111.83303355273,0.0,0.0
39992.107472,292.303,42.0093,502.091,11.9973,7106267741.717665,60096.13543902025,0.0,0.0
39994.208982,295.945,42.0061,502.029,11.9977,7106267693.838492,60050.082531307606,0.0,0.0
39996.310466,303.929,42.0061,501.959,11.9952,7106267812.523223,60114.94107572598,0.0,0.0
39998.401818,307.094,42.0066,501.87,11.9959,7106267760.663427,60064.11608515924,0.0,0.0
40000.513178,301.461,42.0046,501.765,11.9958,7106267778.45001,60101.149613745605,0.0,0.0
40002.614702,313.814,42.0097,501.699,11.9955,7106267691.009418,60097.0941005484,0.0,0.0
40004.706204,316.704,42.0093,501.662,11.9957,7106267712.815297,60102.528584144144,0.0,0.0
40006.807589,315.153,42.007,501.674,11.9958,7106267742.160636,60078.67157886326,0.0,0.0
40009.098813,308.737,42.007,501.653,11.9947,7106267744.612669,60053.75805422596,0.0,0.0
40011.190266,308.525,42.007,501.587,11.9942,7106267713.15279,60065.184526510755,0.0,0.0
40013.291374,302.148,42.0046,501.526,11.9939,7106267776.643878,60085.38692924353,0.0,0.0
40015.392674,297.89,42.003,501.447,11.9946,7106267686.024023,60077.7048062811,0.0,0.0
40017.494188,296.736,42.0066,501.41,11.9931,7106267664.204274,60089.99400517407,0.0,0.0
40019.605047,298.645,42.007,501.336,11.993,7106267697.666,60134.64440169593,0.0,0.0
40021.706481,301.328,42.0046,501.245,11.9929,7106267726.214929,60055.97133632145,0.0,0.0
40023.808043,302.189,42.0024,501.196,11.9929,7106267747.252316,60122.48265843988,0.0,0.0
40025.899546,308.032,42.0035,501.159,11.992,7106267756.073515,60008.588379710236,0.0,0.0
40028.000611,308.652,42.0021,501.11,11.9928,7106267690.090972,60019.40477648675,0.0,0.0
40030.301929,312.392,42.0046,501.07,11.9905,7106267733.535299,60059.48016134369,0.0,0.0
40032.403094,316.151,42.003,501.017,11.9913,7106267724.31721,60072.58610887089,0.0,0.0
40034.494166,321.065,42.0021,501.011,11.9891,7106267713.59406,60087.22872997351,0.0,0.0
40036.605444,324.466,42.0035,500.99,11.9918,7106267732.598812,60069.979265847345,0.0,0.0
40038.706586,329.398,42.0035,500.983,11.9904,7106267784.709107,60083.59019417381,0.0,0.0
